source_combo_index,source_accuracy,replicate,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
3,1.0,8,0.0,high,0.4,0.8,-6.0,-1,CCW,CCW,CCW,1,
3,1.0,9,0.0,high,0.4,0.8,-6.0,-1,CCW,CCW,CCW,1,
4,1.0,0,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,1,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,2,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,3,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,4,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,5,0.0,high,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
4,1.0,6,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,7,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
4,1.0,8,0.0,high,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
4,1.0,9,0.0,high,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
5,1.0,0,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
5,1.0,1,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
5,1.0,2,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
5,1.0,3,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
5,1.0,4,0.0,high,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
5,1.0,5,0.0,high,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
5,1.0,6,0.0,high,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
5,1.0,7,0.0,high,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
5,1.0,8,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
5,1.0,9,0.0,high,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
6,1.0,0,0.0,high,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
6,1.0,1,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
6,1.0,2,0.0,high,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
6,1.0,3,0.0,high,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
6,1.0,4,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
6,1.0,5,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
6,1.0,6,0.0,high,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
6,1.0,7,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
6,1.0,8,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
6,1.0,9,0.0,high,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
7,1.0,0,0.0,high,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
7,1.0,1,0.0,high,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
7,1.0,2,0.0,high,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
7,1.0,3,0.0,high,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
7,1.0,4,0.0,high,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
7,1.0,5,0.0,high,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
7,1.0,6,0.0,high,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
7,1.0,7,0.0,high,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
7,1.0,8,0.0,high,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
7,1.0,9,0.0,high,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
8,1.0,0,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,1,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,2,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,3,0.0,high,0.8,0.6,-6.0,-1,CCW,CCW,CCW,1,
8,1.0,4,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,5,0.0,high,0.8,0.6,-6.0,-1,CCW,CCW,CCW,1,
8,1.0,6,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,7,0.0,high,0.8,0.6,-6.0,-1,CCW,CCW,CCW,1,
8,1.0,8,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
8,1.0,9,0.0,high,0.8,0.6,-6.0,1,CCW,CCW,CCW,1,
9,1.0,0,0.0,high,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
9,1.0,1,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,2,0.0,high,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
9,1.0,3,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,4,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,5,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,6,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,7,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
9,1.0,8,0.0,high,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
9,1.0,9,0.0,high,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
10,1.0,0,0.0,high,0.8,0.8,-16.0,1,CCW,CCW,CCW,1,
10,1.0,1,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
10,1.0,2,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
10,1.0,3,0.0,high,0.8,0.8,-16.0,1,CCW,CCW,CCW,1,
10,1.0,4,0.0,high,0.8,0.8,-16.0,1,CCW,CCW,CCW,1,
10,1.0,5,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
10,1.0,6,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
10,1.0,7,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
10,1.0,8,0.0,high,0.8,0.8,-16.0,1,CCW,CCW,CCW,1,
10,1.0,9,0.0,high,0.8,0.8,-16.0,-1,CCW,CCW,CCW,1,
11,1.0,0,0.0,high,0.8,0.8,-6.0,1,CCW,CCW,CCW,1,
11,1.0,1,0.0,high,0.8,0.8,-6.0,1,CCW,CCW,CCW,1,
11,1.0,2,0.0,high,0.8,0.8,-6.0,-1,CCW,CCW,CCW,1,
11,1.0,3,0.0,high,0.8,0.8,-6.0,-1,CCW,CCW,CCW,1,
11,1.0,4,0.0,high,0.8,0.8,-6.0,-1,CCW,CCW,CCW,1,
11,1.0,5,0.0,high,0.8,0.8,-6.0,-1,CCW,CCW,CCW,1,
11,1.0,6,0.0,high,0.8,0.8,-6.0,-1,CCW,CCW,CCW,1,
11,1.0,7,0.0,high,0.8,0.8,-6.0,1,CCW,CCW,CCW,1,
11,1.0,8,0.0,high,0.8,0.8,-6.0,1,CCW,CCW,CCW,1,
11,1.0,9,0.0,high,0.8,0.8,-6.0,1,CCW,CCW,CCW,1,
12,1.0,0,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,1,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,2,0.0,high,0.8,1.0,-45.0,1,CCW,CCW,CCW,1,
12,1.0,3,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,4,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,5,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,6,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
12,1.0,7,0.0,high,0.8,1.0,-45.0,1,CCW,CCW,CCW,1,
12,1.0,8,0.0,high,0.8,1.0,-45.0,1,CCW,CCW,CCW,1,
12,1.0,9,0.0,high,0.8,1.0,-45.0,-1,CCW,CCW,CCW,1,
13,1.0,0,0.0,high,0.8,1.0,-16.0,1,CCW,CCW,CCW,1,
13,1.0,1,0.0,high,0.8,1.0,-16.0,1,CCW,CCW,CCW,1,
13,1.0,2,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,3,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,4,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,5,0.0,high,0.8,1.0,-16.0,1,CCW,CCW,CCW,1,
13,1.0,6,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,7,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,8,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
13,1.0,9,0.0,high,0.8,1.0,-16.0,-1,CCW,CCW,CCW,1,
14,1.0,0,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
14,1.0,1,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
14,1.0,2,0.0,high,0.8,1.0,-6.0,-1,CCW,CCW,CCW,1,
14,1.0,3,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
14,1.0,4,0.0,high,0.8,1.0,-6.0,-1,CCW,CCW,CCW,1,
14,1.0,5,0.0,high,0.8,1.0,-6.0,-1,CCW,CCW,CCW,1,
14,1.0,6,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
14,1.0,7,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
14,1.0,8,0.0,high,0.8,1.0,-6.0,-1,CCW,CCW,CCW,1,
14,1.0,9,0.0,high,0.8,1.0,-6.0,1,CCW,CCW,CCW,1,
15,1.0,0,0.0,high,1.6,0.6,-16.0,1,CCW,CCW,CCW,1,
15,1.0,1,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,2,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,3,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,4,0.0,high,1.6,0.6,-16.0,1,CCW,CCW,CCW,1,
15,1.0,5,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,6,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,7,0.0,high,1.6,0.6,-16.0,1,CCW,CCW,CCW,1,
15,1.0,8,0.0,high,1.6,0.6,-16.0,-1,CCW,CCW,CCW,1,
15,1.0,9,0.0,high,1.6,0.6,-16.0,1,CCW,CCW,CCW,1,
16,1.0,0,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
16,1.0,1,0.0,high,1.6,0.6,-6.0,-1,CCW,CCW,CCW,1,
16,1.0,2,0.0,high,1.6,0.6,-6.0,-1,CCW,CCW,CCW,1,
16,1.0,3,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
16,1.0,4,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
16,1.0,5,0.0,high,1.6,0.6,-6.0,-1,CCW,CCW,CCW,1,
16,1.0,6,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
16,1.0,7,0.0,high,1.6,0.6,-6.0,-1,CCW,CCW,CCW,1,
16,1.0,8,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
16,1.0,9,0.0,high,1.6,0.6,-6.0,1,CCW,CCW,CCW,1,
17,1.0,0,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
17,1.0,1,0.0,high,1.6,0.8,-45.0,1,CCW,CCW,CCW,1,
17,1.0,2,0.0,high,1.6,0.8,-45.0,1,CCW,CCW,CCW,1,
17,1.0,3,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
17,1.0,4,0.0,high,1.6,0.8,-45.0,1,CCW,CW,CW,0,
17,1.0,5,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
17,1.0,6,0.0,high,1.6,0.8,-45.0,1,CCW,CCW,CCW,1,
17,1.0,7,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
17,1.0,8,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
17,1.0,9,0.0,high,1.6,0.8,-45.0,-1,CCW,CCW,CCW,1,
18,1.0,0,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,1,0.0,high,1.6,0.8,-16.0,-1,CCW,CCW,CCW,1,
18,1.0,2,0.0,high,1.6,0.8,-16.0,-1,CCW,CCW,CCW,1,
18,1.0,3,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,4,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,5,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,6,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,7,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
18,1.0,8,0.0,high,1.6,0.8,-16.0,-1,CCW,CCW,CCW,1,
18,1.0,9,0.0,high,1.6,0.8,-16.0,1,CCW,CCW,CCW,1,
19,1.0,0,0.0,high,1.6,0.8,-6.0,1,CCW,CCW,CCW,1,
19,1.0,1,0.0,high,1.6,0.8,-6.0,1,CCW,CCW,CCW,1,
19,1.0,2,0.0,high,1.6,0.8,-6.0,-1,CCW,CCW,CCW,1,
19,1.0,3,0.0,high,1.6,0.8,-6.0,-1,CCW,CCW,CCW,1,
19,1.0,4,0.0,high,1.6,0.8,-6.0,1,CCW,CCW,CCW,1,
19,1.0,5,0.0,high,1.6,0.8,-6.0,-1,CCW,CCW,CCW,1,
19,1.0,6,0.0,high,1.6,0.8,-6.0,-1,CCW,CCW,CCW,1,
19,1.0,7,0.0,high,1.6,0.8,-6.0,-1,CCW,CCW,CCW,1,
19,1.0,8,0.0,high,1.6,0.8,-6.0,1,CCW,CCW,CCW,1,
19,1.0,9,0.0,high,1.6,0.8,-6.0,1,CCW,CCW,CCW,1,
20,1.0,0,0.0,high,1.6,1.0,-45.0,1,CCW,CCW,CCW,1,
20,1.0,1,0.0,high,1.6,1.0,-45.0,1,CCW,CCW,CCW,1,
20,1.0,2,0.0,high,1.6,1.0,-45.0,1,CCW,CCW,CCW,1,
20,1.0,3,0.0,high,1.6,1.0,-45.0,1,CCW,CCW,CCW,1,
20,1.0,4,0.0,high,1.6,1.0,-45.0,-1,CCW,CW,CW,0,
20,1.0,5,0.0,high,1.6,1.0,-45.0,-1,CCW,CCW,CCW,1,
20,1.0,6,0.0,high,1.6,1.0,-45.0,-1,CCW,CCW,CCW,1,
20,1.0,7,0.0,high,1.6,1.0,-45.0,-1,CCW,CCW,CCW,1,
20,1.0,8,0.0,high,1.6,1.0,-45.0,-1,CCW,CCW,CCW,1,
20,1.0,9,0.0,high,1.6,1.0,-45.0,-1,CCW,CCW,CCW,1,
21,1.0,0,0.0,high,1.6,1.0,-16.0,1,CCW,CCW,CCW,1,
21,1.0,1,0.0,high,1.6,1.0,-16.0,1,CCW,CCW,CCW,1,
21,1.0,2,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
21,1.0,3,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
21,1.0,4,0.0,high,1.6,1.0,-16.0,1,CCW,CCW,CCW,1,
21,1.0,5,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
21,1.0,6,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
21,1.0,7,0.0,high,1.6,1.0,-16.0,1,CCW,CCW,CCW,1,
21,1.0,8,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
21,1.0,9,0.0,high,1.6,1.0,-16.0,-1,CCW,CCW,CCW,1,
22,1.0,0,0.0,high,1.6,1.0,-6.0,-1,CCW,CCW,CCW,1,
22,1.0,1,0.0,high,1.6,1.0,-6.0,-1,CCW,CCW,CCW,1,
22,1.0,2,0.0,high,1.6,1.0,-6.0,1,CCW,CCW,CCW,1,
22,1.0,3,0.0,high,1.6,1.0,-6.0,-1,CCW,CCW,CCW,1,
22,1.0,4,0.0,high,1.6,1.0,-6.0,1,CCW,CCW,CCW,1,
22,1.0,5,0.0,high,1.6,1.0,-6.0,-1,CCW,CCW,CCW,1,
22,1.0,6,0.0,high,1.6,1.0,-6.0,1,CCW,CCW,CCW,1,
22,1.0,7,0.0,high,1.6,1.0,-6.0,-1,CCW,CCW,CCW,1,
22,1.0,8,0.0,high,1.6,1.0,-6.0,1,CCW,CCW,CCW,1,
22,1.0,9,0.0,high,1.6,1.0,-6.0,1,CCW,CCW,CCW,1,
23,1.0,0,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,1,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,2,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,3,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,4,0.0,low,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
23,1.0,5,0.0,low,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
23,1.0,6,0.0,low,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
23,1.0,7,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,8,0.0,low,0.4,0.6,-45.0,-1,CCW,CCW,CCW,1,
23,1.0,9,0.0,low,0.4,0.6,-45.0,1,CCW,CCW,CCW,1,
24,1.0,0,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,1,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,2,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,3,0.0,low,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
24,1.0,4,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,5,0.0,low,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
24,1.0,6,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,7,0.0,low,0.4,0.8,-45.0,1,CCW,CCW,CCW,1,
24,1.0,8,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
24,1.0,9,0.0,low,0.4,0.8,-45.0,-1,CCW,CCW,CCW,1,
25,1.0,0,0.0,low,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
25,1.0,1,0.0,low,0.4,0.8,-16.0,-1,CCW,CW,CW,0,
25,1.0,2,0.0,low,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
25,1.0,3,0.0,low,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
25,1.0,4,0.0,low,0.4,0.8,-16.0,-1,CCW,CW,CW,0,
25,1.0,5,0.0,low,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
25,1.0,6,0.0,low,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
25,1.0,7,0.0,low,0.4,0.8,-16.0,1,CCW,CCW,CCW,1,
25,1.0,8,0.0,low,0.4,0.8,-16.0,-1,CCW,CCW,CCW,1,
25,1.0,9,0.0,low,0.4,0.8,-16.0,-1,CCW,CW,CW,0,
26,1.0,0,0.0,low,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
26,1.0,1,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,2,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,3,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,4,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,5,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,6,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,7,0.0,low,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
26,1.0,8,0.0,low,0.4,1.0,-45.0,-1,CCW,CCW,CCW,1,
26,1.0,9,0.0,low,0.4,1.0,-45.0,1,CCW,CCW,CCW,1,
27,1.0,0,0.0,low,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
27,1.0,1,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,2,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,3,0.0,low,0.4,1.0,-16.0,1,CCW,CCW,CCW,1,
27,1.0,4,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,5,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,6,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,7,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,8,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
27,1.0,9,0.0,low,0.4,1.0,-16.0,-1,CCW,CCW,CCW,1,
28,1.0,0,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,1,0.0,low,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
28,1.0,2,0.0,low,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
28,1.0,3,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,4,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,5,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,6,0.0,low,0.8,0.6,-45.0,1,CCW,CCW,CCW,1,
28,1.0,7,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,8,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
28,1.0,9,0.0,low,0.8,0.6,-45.0,-1,CCW,CCW,CCW,1,
29,1.0,0,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,1,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,2,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,3,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,4,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,5,0.0,low,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
29,1.0,6,0.0,low,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
29,1.0,7,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
29,1.0,8,0.0,low,0.8,0.6,-16.0,-1,CCW,CCW,CCW,1,
29,1.0,9,0.0,low,0.8,0.6,-16.0,1,CCW,CCW,CCW,1,
30,1.0,0,0.0,low,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
30,1.0,1,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
30,1.0,2,0.0,low,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
30,1.0,3,0.0,low,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
30,1.0,4,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
30,1.0,5,0.0,low,0.8,0.8,-45.0,-1,CCW,CCW,CCW,1,
30,1.0,6,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
30,1.0,7,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
30,1.0,8,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
30,1.0,9,0.0,low,0.8,0.8,-45.0,1,CCW,CCW,CCW,1,
