trial,eccentricity_pct,noise_level,spatial_freq_cpd,contrast_amplitude,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
105,50.0,none,1.6,0.8,6.0,6.0,-1,CW,CW,CW,1,
106,0.0,high,0.8,0.6,6.0,6.0,-1,CW,CCW,CCW,0,
107,50.0,none,1.6,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
108,0.0,medium,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
109,50.0,medium,0.8,0.8,45.0,45.0,1,CW,CW,CW,1,
110,0.0,medium,0.4,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
111,50.0,high,1.6,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
112,50.0,none,0.8,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
113,0.0,high,1.6,1.0,-6.0,6.0,1,CCW,CCW,CCW,1,
114,0.0,none,0.8,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
115,0.0,medium,0.8,1.0,45.0,45.0,1,CW,CCW,CCW,0,
116,0.0,low,1.6,0.6,45.0,45.0,1,CW,CCW,CCW,0,
117,0.0,none,0.4,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
118,0.0,none,0.4,1.0,16.0,16.0,1,CW,CW,CW,1,
119,0.0,high,1.6,0.6,-6.0,6.0,1,CCW,CCW,CCW,1,
120,50.0,medium,0.8,0.8,6.0,6.0,-1,CW,CW,CW,1,
121,50.0,low,0.4,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
122,50.0,low,1.6,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
123,0.0,medium,0.8,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
124,0.0,none,1.6,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
125,50.0,medium,0.8,1.0,16.0,16.0,1,CW,CCW,CCW,0,
126,0.0,none,0.8,1.0,6.0,6.0,1,CW,CCW,CCW,0,
127,50.0,low,0.8,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
128,0.0,high,0.8,0.6,6.0,6.0,1,CW,CCW,CCW,0,
129,50.0,low,0.4,0.6,6.0,6.0,-1,CW,CCW,CCW,0,
130,0.0,high,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
131,50.0,none,0.8,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
132,0.0,low,1.6,1.0,-45.0,45.0,1,CCW,CCW,CCW,1,
133,50.0,none,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
134,0.0,none,1.6,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
135,0.0,none,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
136,50.0,high,0.4,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
137,0.0,medium,1.6,0.8,16.0,16.0,1,CW,CCW,CCW,0,
138,0.0,medium,0.8,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
139,50.0,low,0.8,0.8,16.0,16.0,1,CW,CCW,CCW,0,
140,0.0,medium,0.4,0.8,-6.0,6.0,1,CCW,CW,CW,0,
141,50.0,none,1.6,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
142,0.0,low,1.6,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
143,50.0,none,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
144,50.0,none,0.4,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
145,50.0,none,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
146,0.0,high,0.4,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
147,0.0,none,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
148,50.0,low,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
149,0.0,medium,1.6,0.6,45.0,45.0,1,CW,CCW,CCW,0,
150,0.0,medium,0.4,1.0,16.0,16.0,1,CW,CW,CW,1,
151,0.0,medium,1.6,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
152,50.0,none,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
153,0.0,low,0.8,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
154,50.0,medium,0.4,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
155,50.0,low,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
156,50.0,medium,1.6,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
157,50.0,high,0.8,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
158,0.0,high,1.6,1.0,-6.0,6.0,1,CCW,CCW,CCW,1,
159,50.0,low,0.8,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
160,0.0,low,0.8,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
161,50.0,none,0.4,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
162,50.0,medium,0.8,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
163,50.0,low,0.8,1.0,-16.0,16.0,1,CCW,CCW,CCW,1,
164,50.0,low,0.8,0.6,-6.0,6.0,1,CCW,CW,CW,0,
165,0.0,medium,0.4,0.8,16.0,16.0,1,CW,CCW,CCW,0,
166,50.0,low,1.6,1.0,45.0,45.0,1,CW,CCW,CCW,0,
167,0.0,low,1.6,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
168,50.0,none,0.4,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
169,50.0,low,0.4,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
170,50.0,high,0.4,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
171,0.0,low,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
172,0.0,none,0.8,1.0,-45.0,45.0,1,CCW,CCW,CCW,1,
173,50.0,low,0.8,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
174,0.0,high,1.6,0.8,45.0,45.0,1,CW,CCW,CCW,0,
175,0.0,high,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
176,50.0,none,1.6,0.8,-16.0,16.0,-1,CCW,CW,CW,0,
177,0.0,low,0.8,0.6,6.0,6.0,-1,CW,CW,CW,1,
178,0.0,high,1.6,0.6,45.0,45.0,1,CW,CCW,CCW,0,
179,0.0,medium,0.8,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
180,50.0,high,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
181,0.0,none,0.8,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
182,0.0,low,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
183,50.0,medium,0.4,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
184,0.0,medium,0.8,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
185,50.0,medium,1.6,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
186,0.0,low,1.6,1.0,45.0,45.0,1,CW,CCW,CCW,0,
187,50.0,medium,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
188,50.0,none,1.6,1.0,-16.0,16.0,-1,CCW,CW,CW,0,
189,50.0,medium,0.8,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
190,50.0,medium,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
191,50.0,none,0.8,0.6,16.0,16.0,-1,CW,CW,CW,1,
192,50.0,low,0.8,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
193,0.0,medium,1.6,1.0,-16.0,16.0,1,CCW,CCW,CCW,1,
194,50.0,none,0.4,0.6,16.0,16.0,1,CW,CCW,CCW,0,
195,0.0,high,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
196,0.0,none,0.4,0.6,-16.0,16.0,1,CCW,CCW,CCW,1,
197,50.0,high,1.6,1.0,-45.0,45.0,1,CCW,CW,CW,0,
198,50.0,medium,1.6,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
199,50.0,high,1.6,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
200,0.0,medium,0.8,1.0,45.0,45.0,1,CW,CCW,CCW,0,
201,0.0,medium,0.4,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
202,50.0,high,1.6,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
203,50.0,none,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
204,0.0,high,0.8,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
205,0.0,low,1.6,1.0,-16.0,16.0,1,CCW,CCW,CCW,1,
206,0.0,medium,1.6,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
207,50.0,low,1.6,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
208,50.0,low,1.6,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
209,50.0,high,1.6,0.6,16.0,16.0,1,CW,CCW,CCW,0,
210,50.0,low,1.6,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
211,50.0,none,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
212,0.0,high,1.6,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
213,50.0,medium,1.6,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
214,50.0,high,0.4,0.8,16.0,16.0,1,CW,CW,CW,1,
215,0.0,high,0.8,0.6,16.0,16.0,-1,CW,CCW,CCW,0,
216,0.0,low,0.8,0.8,45.0,45.0,1,CW,CCW,CCW,0,
217,0.0,none,1.6,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
218,50.0,high,1.6,1.0,16.0,16.0,1,CW,CW,CW,1,
219,0.0,high,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
220,0.0,low,0.8,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
221,50.0,high,1.6,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
222,0.0,high,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
223,50.0,low,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
224,0.0,low,1.6,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
225,0.0,none,0.4,0.8,6.0,6.0,-1,CW,CW,CW,1,
226,0.0,low,1.6,0.8,16.0,16.0,1,CW,CCW,CCW,0,
227,50.0,low,0.4,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
228,0.0,low,0.4,0.8,45.0,45.0,1,CW,CCW,CCW,0,
229,0.0,low,1.6,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
230,0.0,medium,1.6,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
231,0.0,high,0.4,0.6,16.0,16.0,1,CW,CCW,CCW,0,
232,0.0,high,1.6,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
233,0.0,high,1.6,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
234,50.0,low,1.6,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
235,50.0,low,0.4,0.8,16.0,16.0,1,CW,CCW,CCW,0,
236,0.0,medium,0.4,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
237,50.0,medium,1.6,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
238,50.0,low,0.8,0.6,16.0,16.0,1,CW,CCW,CCW,0,
239,50.0,medium,1.6,0.8,45.0,45.0,1,CW,CCW,CCW,0,
240,0.0,none,0.8,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
241,50.0,low,0.4,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
242,0.0,medium,1.6,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
243,50.0,medium,0.8,0.8,-6.0,6.0,1,CCW,CW,CW,0,
244,50.0,none,1.6,0.6,-6.0,6.0,-1,CCW,CW,CW,0,
245,0.0,medium,1.6,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
246,50.0,none,0.8,0.8,45.0,45.0,-1,CW,CW,CW,1,
247,0.0,medium,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
248,50.0,none,0.8,1.0,-6.0,6.0,1,CCW,CW,CW,0,
249,50.0,low,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
250,50.0,high,0.4,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
251,0.0,none,0.8,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
252,0.0,medium,0.8,0.8,6.0,6.0,1,CW,CCW,CCW,0,
253,50.0,none,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
254,50.0,low,0.4,0.6,-45.0,45.0,-1,CCW,CCW,CCW,1,
255,0.0,high,1.6,1.0,45.0,45.0,1,CW,CCW,CCW,0,
256,0.0,low,0.4,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
257,0.0,none,0.4,0.8,16.0,16.0,1,CW,CW,CW,1,
258,0.0,none,0.8,1.0,6.0,6.0,-1,CW,CW,CW,1,
259,50.0,none,0.4,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
260,50.0,medium,0.4,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
261,50.0,medium,1.6,0.8,45.0,45.0,1,CW,CCW,CCW,0,
262,50.0,medium,0.4,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
263,50.0,high,1.6,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
264,50.0,none,0.4,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
265,0.0,medium,1.6,1.0,-6.0,6.0,-1,CCW,CCW,CCW,1,
266,50.0,high,0.8,0.8,45.0,45.0,1,CW,CW,CW,1,
267,0.0,low,0.4,1.0,45.0,45.0,1,CW,CCW,CCW,0,
268,50.0,medium,0.4,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
269,0.0,low,0.8,0.6,-6.0,6.0,-1,CCW,CW,CW,0,
270,50.0,medium,0.8,0.6,-16.0,16.0,-1,CCW,CCW,CCW,1,
271,50.0,none,0.8,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
272,50.0,high,0.4,0.8,45.0,45.0,1,CW,CW,CW,1,
273,50.0,medium,0.4,0.6,6.0,6.0,1,CW,CW,CW,1,
274,0.0,low,0.8,1.0,45.0,45.0,1,CW,CCW,CCW,0,
275,0.0,high,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
276,0.0,high,0.4,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
277,50.0,high,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
278,50.0,medium,0.4,1.0,-45.0,45.0,-1,CCW,CCW,CCW,1,
279,50.0,low,0.4,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
280,0.0,high,1.6,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
281,50.0,none,0.4,0.6,-16.0,16.0,1,CCW,CCW,CCW,1,
282,0.0,high,0.4,0.8,-6.0,6.0,-1,CCW,CCW,CCW,1,
283,0.0,low,0.4,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
284,0.0,low,0.4,0.8,6.0,6.0,1,CW,CW,CW,1,
285,0.0,medium,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
286,0.0,low,0.4,0.8,6.0,6.0,1,CW,CW,CW,1,
287,0.0,medium,0.8,1.0,-16.0,16.0,-1,CCW,CCW,CCW,1,
288,50.0,high,0.8,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
289,50.0,medium,1.6,1.0,6.0,6.0,1,CW,CCW,CCW,0,
290,0.0,low,0.8,0.6,6.0,6.0,-1,CW,CW,CW,1,
291,50.0,high,0.8,0.6,16.0,16.0,1,CW,CW,CW,1,
292,50.0,high,0.4,1.0,-6.0,6.0,1,CCW,CCW,CCW,1,
293,0.0,medium,1.6,0.8,45.0,45.0,-1,CW,CCW,CCW,0,
294,50.0,none,0.4,0.8,-16.0,16.0,1,CCW,CCW,CCW,1,
295,50.0,high,0.4,0.6,6.0,6.0,-1,CW,CCW,CCW,0,
296,50.0,medium,0.4,0.8,45.0,45.0,1,CW,CCW,CCW,0,
297,0.0,low,1.6,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
298,0.0,medium,0.4,0.8,-16.0,16.0,-1,CCW,CW,CW,0,
299,0.0,none,0.8,1.0,6.0,6.0,-1,CW,CW,CW,1,
300,50.0,low,0.8,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
301,0.0,none,0.8,0.6,-45.0,45.0,1,CCW,CCW,CCW,1,
302,0.0,high,1.6,0.6,-16.0,16.0,1,CCW,CCW,CCW,1,
303,50.0,medium,1.6,0.8,-16.0,16.0,-1,CCW,CCW,CCW,1,
304,0.0,none,1.6,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
305,0.0,low,0.4,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
306,0.0,high,0.8,0.8,16.0,16.0,1,CW,CCW,CCW,0,
307,0.0,none,1.6,0.8,16.0,16.0,1,CW,CW,CW,1,
308,50.0,high,0.8,0.6,45.0,45.0,1,CW,CCW,CCW,0,
309,0.0,none,0.4,0.8,6.0,6.0,1,CW,CCW,CCW,0,
310,0.0,low,0.4,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
311,0.0,low,0.8,0.8,16.0,16.0,1,CW,CCW,CCW,0,
312,50.0,high,0.4,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
313,0.0,high,1.6,1.0,-16.0,16.0,1,CCW,CCW,CCW,1,
314,0.0,none,0.8,0.8,-6.0,6.0,1,CCW,CCW,CCW,1,
315,0.0,none,0.8,1.0,-6.0,6.0,1,CCW,CCW,CCW,1,
316,50.0,high,0.8,0.8,16.0,16.0,-1,CW,CCW,CCW,0,
317,0.0,high,1.6,0.6,-6.0,6.0,1,CCW,CCW,CCW,1,
318,50.0,low,1.6,1.0,45.0,45.0,-1,CW,CCW,CCW,0,
319,50.0,none,0.8,1.0,16.0,16.0,-1,CW,CCW,CCW,0,
320,0.0,high,0.4,0.8,-45.0,45.0,-1,CCW,CCW,CCW,1,
321,50.0,medium,0.4,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
322,50.0,medium,1.6,0.8,-45.0,45.0,1,CCW,CCW,CCW,1,
323,50.0,high,0.8,0.6,45.0,45.0,-1,CW,CCW,CCW,0,
324,0.0,medium,0.8,0.6,-6.0,6.0,-1,CCW,CCW,CCW,1,
325,0.0,none,0.8,0.8,45.0,45.0,1,CW,CCW,CCW,0,
326,0.0,low,0.4,1.0,-45.0,45.0,1,CCW,CCW,CCW,1,
327,50.0,none,0.4,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
328,50.0,medium,0.4,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
329,0.0,low,1.6,0.6,45.0,45.0,1,CW,CCW,CCW,0,
330,50.0,high,1.6,1.0,6.0,6.0,-1,CW,CCW,CCW,0,
331,0.0,low,1.6,0.6,16.0,16.0,1,CW,CCW,CCW,0,
332,50.0,low,0.8,0.8,6.0,6.0,-1,CW,CCW,CCW,0,
